"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"01","Live animals","Live animals",0,2,"TOTAL"
"0101","Live horses, asses, mules and hinnies.","Live horses, asses, mules and hinnies.",0,4,"01"
"010110","Live horses/asses/mules/hinnies: pure-bred breeding animals","Live horses/asses/mules/hinnies: pure-bred breeding animals",1,6,"0101"
"010190","Live horses/asses/mules/hinnies other than pure-bred breeding animals","Live horses/asses/mules/hinnies other than pure-bred breeding animals",1,6,"0101"
"0102","Live bovine animals.","Live bovine animals.",0,4,"01"
"010210","Live bovine animals: pure-bred breeding animals","Live bovine animals: pure-bred breeding animals",1,6,"0102"
"010290","Live bovine animals other than pure-bred breeding animals","Live bovine animals other than pure-bred breeding animals",1,6,"0102"
"0103","Live swine.","Live swine.",0,4,"01"
"010310","Live swine: pure-bred breeding animals","Live swine: pure-bred breeding animals",1,6,"0103"
"010391","Live swine other than pure-bred breeding animals, weighing < 50kg","Live swine other than pure-bred breeding animals, weighing < 50kg",1,6,"0103"
"010392","Live swine other than pure-bred breeding animals, weighing 50kg/more","Live swine other than pure-bred breeding animals, weighing 50kg/more",1,6,"0103"
"0104","Live sheep and goats.","Live sheep and goats.",0,4,"01"
"010410","Live sheep","Live sheep",1,6,"0104"
"010420","Live goats","Live goats",1,6,"0104"
"0105","Live poultry","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",0,4,"01"
"010511","Live fowls of species Gallus domesticus, weighing not >185g","Live fowls of species Gallus domesticus, weighing not >185g",1,6,"0105"
"010512","Live turkeys, weighing not >185g","Live turkeys, weighing not >185g",1,6,"0105"
"010519","Live ducks/geese/guinea fowls, weighing not >185g","Live ducks/geese/guinea fowls, weighing not >185g",1,6,"0105"
"010592","Live fowls of species Gallus domesticus, weighing >185g but not >2000g","Live fowls of species Gallus domesticus, weighing >185g but not >2000g",1,6,"0105"
"010593","Live fowls of species Gallus domesticus, weighing >2000g","Live fowls of species Gallus domesticus, weighing >2000g",1,6,"0105"
"010599","Live ducks/geese/turkeys/guinea fowls, weighing >185g","Live ducks/geese/turkeys/guinea fowls, weighing >185g",1,6,"0105"
"0106","Other live animals.","Other live animals.",0,4,"01"
"010611","Live primates","Live primates",1,6,"0106"
"010612","Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order  ...","Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia)",1,6,"0106"
"010619","Live mammals, n.e.s.","Live mammals, n.e.s.",1,6,"0106"
"010620","Live reptiles, incl. snakes & turtles","Live reptiles, incl. snakes & turtles",1,6,"0106"
"010631","Live birds of prey","Live birds of prey",1,6,"0106"
"010632","Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos ...","Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",1,6,"0106"
"010639","Live birds (excl. of 0106.31 & 0106.32)","Live birds (excl. of 0106.31 & 0106.32)",1,6,"0106"
"010690","Live animals, n.e.s.","Live animals, n.e.s.",1,6,"0106"
"02","Meat and edible meat offal","Meat and edible meat offal",0,2,"TOTAL"
"0201","Meat of bovine animals, fresh or chilled.","Meat of bovine animals, fresh or chilled.",0,4,"02"
"020110","Carcasses/half-carcasses of bovine animals, fresh/chilled","Carcasses/half-carcasses of bovine animals, fresh/chilled",1,6,"0201"
"020120","Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in","Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",1,6,"0201"
"020130","Meat of bovine animals, fresh/chilled, boneless","Meat of bovine animals, fresh/chilled, boneless",1,6,"0201"
"0202","Meat of bovine animals, frozen.","Meat of bovine animals, frozen.",0,4,"02"
"020210","Carcasses/half-carcasses of bovine animals, frozen","Carcasses/half-carcasses of bovine animals, frozen",1,6,"0202"
"020220","Meat of bovine animals, frozen (excl. of 0202.10), bone-in","Meat of bovine animals, frozen (excl. of 0202.10), bone-in",1,6,"0202"
"020230","Meat of bovine animals, frozen, boneless","Meat of bovine animals, frozen, boneless",1,6,"0202"
"0203","Meat of swine, fresh, chilled or frozen.","Meat of swine, fresh, chilled or frozen.",0,4,"02"
"020311","Carcasses/half-carcasses of swine, fresh/chilled","Carcasses/half-carcasses of swine, fresh/chilled",1,6,"0203"
"020312","Hams, shoulders & cuts thereof , fresh/chilled, bone-in","Hams, shoulders & cuts thereof , fresh/chilled, bone-in",1,6,"0203"
"020319","Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ...","Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",1,6,"0203"
"020321","Carcasses/half-carcasses of swine, frozen","Carcasses/half-carcasses of swine, frozen",1,6,"0203"
"020322","Hams, shoulders & cuts thereof , frozen, bone-in","Hams, shoulders & cuts thereof , frozen, bone-in",1,6,"0203"
"020329","Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ...","Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",1,6,"0203"
"0204","Meat of sheep or goats, fresh, chilled or frozen.","Meat of sheep or goats, fresh, chilled or frozen.",0,4,"02"
"020410","Carcasses/half-carcasses of lamb, fresh/chilled","Carcasses/half-carcasses of lamb, fresh/chilled",1,6,"0204"
"020421","Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled","Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled",1,6,"0204"
"020422","Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in","Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",1,6,"0204"
"020423","Meat of sheep (excl. lamb), fresh/chilled, boneless","Meat of sheep (excl. lamb), fresh/chilled, boneless",1,6,"0204"
"020430","Carcasses/half-carcasses of lamb, frozen","Carcasses/half-carcasses of lamb, frozen",1,6,"0204"
"020441","Carcasses/half-carcasses of sheep (excl. lamb), frozen","Carcasses/half-carcasses of sheep (excl. lamb), frozen",1,6,"0204"
"020442","Meat of sheep (excl. lamb & carcasses), frozen, bone-in","Meat of sheep (excl. lamb & carcasses), frozen, bone-in",1,6,"0204"
