Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2003,8,1,0,"H2","29",1,,,3213051,0
2003,8,2,0,"H2","29",1,,,51361,0
2003,8,1,40,"H2","29",1,,,162717,0
2003,8,1,76,"H2","29",1,,,1875,0
2003,8,1,100,"H2","29",1,,,82994,0
2003,8,2,100,"H2","29",1,,,7503,0
2003,8,1,112,"H2","29",1,,,7653,0
2003,8,1,156,"H2","29",1,,,108215,0
2003,8,1,208,"H2","29",1,,,48849,0
2003,8,1,251,"H2","29",1,,,226,0
2003,8,1,276,"H2","29",1,,,254137,0
2003,8,2,276,"H2","29",1,,,27132,0
2003,8,1,300,"H2","29",1,,,821838,0
2003,8,1,348,"H2","29",1,,,10445,0
2003,8,1,364,"H2","29",1,,,3181,0
2003,8,1,372,"H2","29",1,,,36723,0
2003,8,1,381,"H2","29",1,,,1170527,0
2003,8,2,381,"H2","29",1,,,432,0
2003,8,1,392,"H2","29",1,,,71,0
2003,8,1,404,"H2","29",1,,,1363,0
2003,8,1,528,"H2","29",1,,,34064,0
2003,8,2,528,"H2","29",1,,,16294,0
2003,8,1,642,"H2","29",1,,,18252,0
2003,8,1,699,"H2","29",1,,,70022,0
2003,8,1,702,"H2","29",1,,,12376,0
2003,8,1,705,"H2","29",1,,,12802,0
2003,8,1,724,"H2","29",1,,,3137,0
2003,8,1,757,"H2","29",1,,,13853,0
2003,8,1,792,"H2","29",1,,,252213,0
2003,8,1,807,"H2","29",1,,,8664,0
2003,8,1,826,"H2","29",1,,,2050,0
2003,8,1,842,"H2","29",1,,,12990,0
2003,8,1,891,"H2","29",1,,,41371,0
2003,8,1,899,"H2","29",1,,,20442,0
2003,12,1,0,"H2","29",1,,,122869244,0
2003,12,2,0,"H2","29",1,,,39120690,0
2003,12,1,32,"H2","29",1,,,422752,0
2003,12,1,36,"H2","29",1,,,7999,0
2003,12,1,40,"H2","29",1,,,1958602,0
2003,12,1,56,"H2","29",1,,,6990111,0
2003,12,1,76,"H2","29",1,,,1007007,0
2003,12,1,100,"H2","29",1,,,156147,0
2003,12,1,124,"H2","29",1,,,12682,0
2003,12,1,156,"H2","29",1,,,5641811,0
2003,12,1,196,"H2","29",1,,,53455,0
2003,12,1,203,"H2","29",1,,,80846,0
2003,12,1,208,"H2","29",1,,,296873,0
2003,12,1,246,"H2","29",1,,,35133,0
2003,12,1,251,"H2","29",1,,,23024220,0
2003,12,2,251,"H2","29",1,,,4623458,0
2003,12,1,276,"H2","29",1,,,14232619,0
2003,12,1,300,"H2","29",1,,,43,0
2003,12,1,328,"H2","29",1,,,500,0
2003,12,1,348,"H2","29",1,,,365357,0
2003,12,1,360,"H2","29",1,,,109380,0
2003,12,1,372,"H2","29",1,,,4220544,0
2003,12,1,381,"H2","29",1,,,7985632,0
2003,12,2,381,"H2","29",1,,,19129426,0
