Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2003,8,1,0,H2,TOTAL,1,,,1864328860,0
2003,8,2,0,H2,TOTAL,1,,,447220546,0
2003,8,1,8,H2,TOTAL,1,,,6792,0
2003,8,1,12,H2,TOTAL,1,,,179812,0
2003,8,1,16,H2,TOTAL,1,,,4083,0
2003,8,1,20,H2,TOTAL,1,,,7459,0
2003,8,2,24,H2,TOTAL,1,,,17517,0
2003,8,1,28,H2,TOTAL,1,,,62789,0
2003,8,2,28,H2,TOTAL,1,,,4883,0
2003,8,1,32,H2,TOTAL,1,,,814081,0
2003,8,2,32,H2,TOTAL,1,,,153,0
2003,8,1,36,H2,TOTAL,1,,,498656,0
2003,8,2,36,H2,TOTAL,1,,,104,0
2003,8,1,40,H2,TOTAL,1,,,30078688,0
2003,8,2,40,H2,TOTAL,1,,,5550225,0
2003,8,1,48,H2,TOTAL,1,,,37678,0
2003,8,1,51,H2,TOTAL,1,,,1114,0
2003,8,1,52,H2,TOTAL,1,,,17498,0
2003,8,1,56,H2,TOTAL,1,,,3195409,0
2003,8,2,56,H2,TOTAL,1,,,123038,0
2003,8,1,70,H2,TOTAL,1,,,1272434,0
2003,8,2,70,H2,TOTAL,1,,,42389,0
2003,8,2,72,H2,TOTAL,1,,,3017,0
2003,8,1,76,H2,TOTAL,1,,,13553877,0
2003,8,2,76,H2,TOTAL,1,,,42654,0
2003,8,1,86,H2,TOTAL,1,,,104808,0
2003,8,1,90,H2,TOTAL,1,,,309525,0
2003,8,1,100,H2,TOTAL,1,,,40936625,0
2003,8,2,100,H2,TOTAL,1,,,190686,0
2003,8,1,112,H2,TOTAL,1,,,5979570,0
2003,8,1,124,H2,TOTAL,1,,,4314484,0
2003,8,2,124,H2,TOTAL,1,,,58680,0
2003,8,1,140,H2,TOTAL,1,,,21008,0
2003,8,1,152,H2,TOTAL,1,,,50747,0
2003,8,1,156,H2,TOTAL,1,,,65503423,0
2003,8,2,156,H2,TOTAL,1,,,1589948,0
2003,8,1,162,H2,TOTAL,1,,,9088,0
2003,8,1,170,H2,TOTAL,1,,,6545,0
2003,8,1,184,H2,TOTAL,1,,,437598,0
2003,8,1,188,H2,TOTAL,1,,,788987,0
2003,8,1,191,H2,TOTAL,1,,,28523907,0
2003,8,2,191,H2,TOTAL,1,,,317085,0
2003,8,1,192,H2,TOTAL,1,,,24785,0
2003,8,1,196,H2,TOTAL,1,,,4821700,0
2003,8,2,196,H2,TOTAL,1,,,164344,0
2003,8,1,203,H2,TOTAL,1,,,13365876,0
2003,8,2,203,H2,TOTAL,1,,,272368,0
2003,8,1,208,H2,TOTAL,1,,,7051134,0
2003,8,2,208,H2,TOTAL,1,,,191581,0
2003,8,1,212,H2,TOTAL,1,,,125031,0
2003,8,1,218,H2,TOTAL,1,,,7204619,0
2003,8,1,233,H2,TOTAL,1,,,969,0
2003,8,1,246,H2,TOTAL,1,,,3031576,0
2003,8,1,251,H2,TOTAL,1,,,20313292,0
2003,8,2,251,H2,TOTAL,1,,,2090692,0
2003,8,1,268,H2,TOTAL,1,,,958334,0
2003,8,2,270,H2,TOTAL,1,,,1110,0
2003,8,1,276,H2,TOTAL,1,,,105404020,0
